央视频道,#genre#
卡酷少儿,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/kkkt_4000.m3u8
金鹰卡通,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/jykt_2000
嘉佳卡通,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/jjkt_2000
成都少儿,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CDTV-6_2000
四川经济,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/SCTV-2-H265_4000.m3u8
四川文化,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/SCTV-3-H265_4000.m3u8
四川新闻,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/SCTV-4H265_4000.m3u8
四川影视,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/SCTV-5-scysH265_4000.m3u8
四川科教,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/SCTV-ggSCTV-8_4000.m3u8
四川乡村,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/SCTV-kjSCTV-9-_4000.m3u8
峨嵋电影,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/emdygqH265_4000.m3u8
峨眉电影4K,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/emdy4k_8000
成都新闻,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CDTV-1_4000.m3u8
成都经济,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CDTV-2_4000.m3u8
成都都市,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CDTV-3_4000.m3u8
成都影视,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CDTV-4_4000.m3u8
成都公共,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CDTV-5_4000.m3u8
成都购物,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/mrgw_4000.m3u8
成都高新,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/cdgxdstgq_2000
CHC影迷电影,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/lnwsCHC-HDH265_4000.m3u8
CHC动作电影,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/wqCHCdzdyH265_4000.m3u8
CHC家庭影院,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/jbtygqCHCjtyyH265_4000.m3u8
中央新影-老故事,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/lgs_2000
重温经典,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CWJD_4000.m3u8
CETV1,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CETV-1H264_4000.m3u8
CETV2,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CETV-2_4000.m3u8
CETV4,http://129.204.5.226:48788/edge-cache02.live3.omd.sc96655.com/live/CETV-4H264_2000
